country,region,income,gdp,population,msw,e_waste,medical,hazard,plastic,metal,glass
Malaysia,EAS,Upper Middle,23906.265625,30228016,0.4294917999249438,0.009262930124160315,0.0006450969193611648,0.0965487777960684,15.0,3.0,3.0
Namibia,SSF,Upper Middle,6152.9873046875,1559983,0.1645716652040439,0.008974456772926371,,,,,
New Caledonia,EAS,High,57330.203125,278000,0.38905533812949644,,0.0011654676258992806,,16.5,10.0,5.5
Niger,SSF,Low,1038.22412109375,8842415,0.21098825038182442,0.0008934210846245059,,0.06265256720025016,2.0,1.0,
Nigeria,SSF,Lower Middle,4690.37939453125,154402176,0.178850005791693,0.0017940161672332909,,,4.8,,3.1
Nicaragua,LCN,Lower Middle,4611.84033203125,5737723,0.26644999999999996,0.0018822797824154286,,0.0004944470132141269,,,
Netherlands,ECS,High,56849.375,17332850,0.5080000115387833,0.03083220589804908,0.13799640566900423,0.2786901750144956,14.0,4.3,5.4
Norway,ECS,High,64962.26171875,5347896,0.7759999913984864,0.028048413806102436,0.1971971781051838,0.27711832840429207,2.25,6.12,4.6
Nepal,SAS,Low,2902.249267578125,28982772,0.06103548307939627,0.0007935748864877383,0.00046262897144551943,0.00017427594572389418,15.14,1.9,4.36
Nauru,EAS,Upper Middle,11167.3193359375,13049,0.47450000000000003,,,,16.5,10.0,5.5
New Zealand,EAS,High,41857.4765625,4692700,0.7255950731987981,0.020244209090715365,,,8.0,4.5,4.0
Oman,MEA,High,30535.833984375,3960925,0.438,0.01489551051837639,0.0011360982598761654,0.37108377462335185,21.0,,6.0
Pakistan,SAS,Lower Middle,4571.41455078125,193203472,0.15921038934538403,0.001557943016676222,1.511360002888561,0.007960519467269202,9.0,4.0,6.0
Panama,LCN,High,28436.359375,3969249,0.3709170715039545,0.0008061978475021346,0.0007796688995827674,,12.0,3.8,5.8
Peru,LCN,Upper Middle,11877.083984375,30973354,0.2698032357102818,0.005876018464128877,0.00023168301372851,0.021314455621112262,10.52,2.64,3.05
Philippines,EAS,Lower Middle,7705.04541015625,103320224,0.1416172200710676,0.002806807697203599,,0.04193005156473529,10.55,4.22,2.34
Palau,EAS,High,18275.025390625,21503,0.43839210807794265,0.009301027763567874,0.000507836115890806,,32.0,10.0,5.0
Papua New Guinea,EAS,Lower Middle,3912.381103515625,7755785,0.12893601356922607,0.0009025520949845825,7.375139976159731e-05,,10.0,,
Poland,ECS,High,33221.54296875,37970872,0.3360000002106878,0.005911162640668352,0.06549278088741285,0.044219448002142274,12.13,2.17,10.07
Puerto Rico,LCN,High,34311.03125,3473181,1.2009028610947716,0.00027249947526489406,,1.4165688456777806e-06,10.4,10.4,2.4
Portugal,ECS,High,34961.9453125,10269417,0.5130000076927443,0.016561602279856782,0.07960451893228214,0.06828313622866809,10.72,1.85,6.73
Paraguay,LCN,Upper Middle,11810.427734375,6639119,0.2739070296525789,0.005151285885973726,,,,,
West Bank and Gaza,MEA,Lower Middle,5985.68310546875,4046901,0.3427313887836643,,0.0011297533594224322,0.015473815643130386,14.2,2.7,2.4
French Polynesia,EAS,High,60955.7265625,273528,0.5374221286303413,,0.0013161358252171624,,2.0,3.0,3.0
Qatar,MEA,High,96261.6640625,2109568,0.4745,0.013746890358594745,0.21331381590922882,0.04977322371215339,14.0,9.0,4.0
Romania,ECS,Upper Middle,29983.556640625,19356544,0.2800000092991807,0.006833244612261363,0.04731671108230891,0.03049614641952613,12.33,2.5,4.89
Russian Federation,ECS,Upper Middle,26012.849609375,143201680,0.41898949788857226,0.009720556351014877,,0.7681474127957159,14.21,1.83,16.82
Rwanda,SSF,Low,1950.528076171875,11917508,0.36794344925130323,0.0004950699424745509,,,,,
Saudi Arabia,MEA,High,48921.23046875,31557144,0.511,0.016097781218731327,0.0007987731716152767,0.02208691635719633,11.0,5.0,4.0
Sudan,SSF,Lower Middle,4191.8232421875,38647804,0.07325878075763373,0.0013196092590409536,,,12.7,1.7,3.5
